Family	ACLAME.Function.s.
family:all:551	phi:0000326 - phage function unknown
family:all:5509	unknown
family:all:5508	malate dehydrogenase, NAD-dependent
family:all:5507	ATP--cobalamin adenosyltransferase
family:all:5506	unknown
family:all:5505	putative arylsulfatase regulatory protein
family:all:5504	unknown
family:all:5503	unknown
family:all:5502	unknown
family:all:5501	ParB
family:all:5500	unknown
family:all:550	phi:0000174 - capsid tail
family:all:55	aclame:function:510 - IS630 family; phi:0000153 - DDE-based recombinase activity
family:all:55	aclame:function:510 - IS630 family; phi:0000153 - DDE-based recombinase activity; phi:0000136 - transpositional DNA recombination
family:all:5499	unknown
family:all:5498	unknown
family:all:5497	unknown
family:all:5496	unknown
family:all:5495	unknown
family:all:5494	go:0016407 - acetyltransferase activity
family:all:5493	TPR repeat
family:all:5492	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein
family:all:5491	Major facilitator superfamily MFS_1
family:all:5490	unknown
family:all:549	phi:0000326 - phage function unknown
family:all:5489	unknown
family:all:5488	unknown
family:all:5487	unknown
family:all:5486	unknown
family:all:5485	unknown
family:all:5484	unknown
family:all:5483	unknown
family:all:5482	unknown
family:all:5481	unknown
family:all:5480	unknown
family:all:548	phi:0000326 - phage function unknown
family:all:5479	unknown
family:all:5478	unknown
family:all:5477	unknown
family:all:5476	unknown
family:all:5475	CTP synthase
family:all:5474	unknown
family:all:5473	unknown
family:all:5472	unknown
family:all:5471	2-dehydro-3-deoxyphosphooctonate aldolase
family:all:5470	possible flbT, flagellar biosynthesis regulatory protein
family:all:547	phi:0000326 - phage function unknown
family:all:5469	unknown
family:all:5468	unknown
family:all:5467	unknown
family:all:5466	unknown
family:all:5465	transcription regulator
family:all:5464	unknown
family:all:5463	unknown
family:all:5462	aclame:function:509 - IS256 family; phi:0000136 - transpositional DNA recombination; phi:0000153 - DDE-based recombinase activity
family:all:5461	orf, hypothetical
family:all:5460	binding-protein-dependent transport systems inner membrane component
family:all:546	go:0034290 - holin activity; phi:0000013 - phage release by lysis
family:all:546	phi:0000099 - holin activity; go:0034290 - holin activity; phi:0000013 - phage release by lysis
family:all:5459	gp230
family:all:5458	unknown
family:all:5457	unknown
family:all:5456	FixU
family:all:5455	NodH sulfotransferase
family:all:5454	NodF acyl carrier protein
family:all:5453	thiamineS protein
family:all:5452	unknown
family:all:5451	formyl-methanofuran dehydrogenase domain 3 protein
family:all:5450	FixT1 Inhibitor of FixL autophosphorylation
family:all:545	go:0034290 - holin activity; phi:0000013 - phage release by lysis
family:all:5449	cytochrome c oxidase, cbb3-type, subunit IV
family:all:5448	unknown
family:all:5447	putative tricarboxylic transport membrane protein
family:all:5446	unknown
family:all:5445	eIF-2B alpha/beta/delta-related uncharacterized protein
family:all:5444	5-methylthioribose kinase
family:all:5443	unknown
family:all:5442	putative LysR-family transcriptional regulator
family:all:5441	unknown
family:all:5440	unknown
family:all:544	aclame:578 - Sak-like recombinase
family:all:544	phi:0000326 - phage function unknown; aclame:578 - Sak-like recombinase
family:all:5439	unknown
family:all:5438	unknown
family:all:5437	putative (L31491) ORF2; putative (plasmid pTOM9)
family:all:5436	5-formyltetrahydrofolate cyclo-ligase
family:all:5435	protein of unknown function DUF1127
family:all:5434	unknown
family:all:5433	conserved hypothetical exported peptide protein
family:all:5432	unknown
family:all:5431	putative integral membrane protein TIGR02587
family:all:5430	putative transmembrane protein
family:all:543	phi:0000019 - phage DNA maturation; phi:0000073 - phage terminase large subunit
family:all:5429	unknown
family:all:5428	unknown
family:all:5427	unknown
family:all:5426	cation efflux protein
family:all:5425	unknown
family:all:5424	unknown
family:all:5423	putative transmembrane anti-sigma factor
family:all:5422	gp43
family:all:5421	unknown
family:all:5420	go:0003754 - chaperone activity; go:0009405 - pathogenesis; go:0052049 - interaction with host via protein secreted by type III secretion system
family:all:542	phi:0000326 - phage function unknown
family:all:542	go:0004530 - deoxyribonuclease I activity
family:all:5419	unknown
family:all:5418	phi:0000326 - phage function unknown
family:all:5417	unknown
family:all:5416	FAD dependent dehydrogenase
family:all:5415	unknown
family:all:5414	unknown
family:all:5413	putative transmembrane protein
family:all:5412	putative transcriptional regulator protein
family:all:5411	unknown
family:all:5410	partitioning protein
family:all:541	go:0046404 - ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity
family:all:5409	ParC
family:all:5408	unknown
family:all:5407	unknown
family:all:5406	tannase
family:all:5405	hypothetical TolA Transport Protein
family:all:5404	unknown
family:all:5403	unknown
family:all:5402	phi:0000273 - pilin
family:all:5401	unknown
family:all:5400	unknown
family:all:540	phi:0000326 - phage function unknown
family:all:54	phi:0000019 - phage DNA maturation; phi:0000073 - phage terminase large subunit
family:all:54	phi:0000073 - phage terminase large subunit; phi:0000019 - phage DNA maturation
family:all:54	phi:0000333 - plasmid function unknown
family:all:5399	probable monooxygenase
family:all:5398	malate dehydrogenase
family:all:5397	unknown
family:all:5396	unknown
family:all:5395	unknown
family:all:5394	possible insecticidal toxin protein, C-terminal
family:all:5393	methionine--tRNA ligase
family:all:5392	gp247
family:all:5391	gp248
family:all:5390	adenylosuccinate synthetase
family:all:539	phi:0000326 - phage function unknown
family:all:5389	putative esterase
family:all:5388	Tetratricopeptide TPR_2 repeat protein
family:all:5387	unknown
family:all:5386	unknown
family:all:5385	unknown
family:all:5384	probable lipase
family:all:5383	unknown
family:all:5382	unknown
family:all:5381	unknown
family:all:5380	unknown
family:all:538	phi:0000175 - capsid tail fiber
family:all:5379	unknown
family:all:5378	unknown
family:all:5377	possible methyltransferase
family:all:5376	unknown
family:all:5375	transposase
family:all:5374	possible succinate dehydrogenase Fe-S protein
family:all:5373	go:0030163 - protein catabolic process
family:all:5372	possible transposase
family:all:5371	ABC transport system regulatory protein (probable substrate phosphate) 2.1
family:all:5370	glycoside hydrolase 15-related
family:all:537	phi:0000103 - endolysin activity
family:all:537	go:0008933 - lytic transglycosylase activity
family:all:5369	unknown
family:all:5368	unknown
family:all:5367	phi:0000333 - plasmid function unknown
family:all:5366	CopG-like DNA-binding
family:all:5365	unknown
family:all:5364	unknown
family:all:5363	unknown
family:all:5362	putative aminotransferase protein
family:all:5361	putative secreted protein
family:all:5360	putative exported protein of unknown function
family:all:536	aclame:function:500 - IS5 family
family:all:5359	unknown
family:all:5358	putative transcriptional regulator
family:all:5357	putative membrane protein of unknown function
family:all:5356	unknown
family:all:5355	putative membrane/exported protein of unknown function
family:all:5354	putative exported protein of unknown function
family:all:5353	unknown
family:all:5352	unknown
family:all:5351	unknown
family:all:5350	lipoprotein
family:all:535	phi:0000333 - plasmid function unknown
family:all:5349	unknown
family:all:5348	unknown
family:all:5347	unknown
family:all:5346	unknown
family:all:5345	chpAI protein, putative
family:all:5344	lipoprotein
family:all:5343	lipoprotein
family:all:5342	unknown
family:all:5341	outer membrane protein
family:all:5340	antigen, S1
family:all:534	go:0045449 - regulation of transcription; go:0003700 - transcription factor activity
family:all:5339	outer membrane porin
family:all:5338	unknown
family:all:5337	Uncharacterized protein-like protein
family:all:5336	radical SAM domain protein
family:all:5335	go:0006260 - DNA replication; go:0006281 - DNA repair
family:all:5334	PROBABLE SIGNAL PEPTIDE PROTEIN
family:all:5333	metallophosphoesterase
family:all:5332	Mob protein
family:all:5331	repressor-like protein
family:all:5330	unknown
family:all:533	phi:0000333 - plasmid function unknown
family:all:5329	unknown
family:all:5328	unknown
family:all:5327	unknown
family:all:5326	unknown
family:all:5325	unknown
family:all:5324	unknown
family:all:5323	unknown
family:all:5322	enterotoxin
family:all:5321	unknown
family:all:5320	unknown
family:all:532	phi:0000262 - toxin; phi:0000322 - post-segregational killing; aclame:function:546 - TA family mazEF
family:all:5319	unknown
family:all:5318	unknown
family:all:5317	collagen adhesion protein
family:all:5316	sortase family protein
family:all:5315	Y4cA
family:all:5314	Predicted nucleic acid-binding protein, contains PIN domain
family:all:5313	possible NADH oxidase
family:all:5312	unknown
family:all:5311	putative transmembrane protein
family:all:5310	unknown
family:all:531	phi:0000333 - plasmid function unknown
family:all:5309	unknown
family:all:5308	Catalase
family:all:5307	unknown
family:all:5306	polysaccharide biosynthesis protein
family:all:5305	extracellular solute-binding protein family 3
family:all:5304	unknown
family:all:5303	unknown
family:all:5302	ORF B494
family:all:5301	unknown
family:all:5300	go:0009008 - DNA-methyltransferase activity
family:all:530	aclame:function:498 - IS3 family; phi:0000153 - DDE-based recombinase activity
family:all:530	go:0031224 - intrinsic to membrane
family:all:53	go:0015075 - ion transmembrane transporter activity
family:all:5299	unknown
family:all:5298	gp72
family:all:5297	unknown
family:all:5296	unknown
family:all:5295	unknown
family:all:5294	unknown
family:all:5293	unknown
family:all:5292	unknown
family:all:5291	putative conserved lipoprotein LpqU
family:all:5290	unknown
family:all:529	phi:0000326 - phage function unknown
family:all:5289	unknown
family:all:5288	unknown
family:all:5287	unknown
family:all:5286	putative transcriptional regulator
family:all:5285	unknown
family:all:5284	unknown
family:all:5283	unknown
family:all:5282	unknown
family:all:5281	Putative Ig
family:all:5280	unknown
family:all:528	go:0051046 - regulation of secretion; phi:0000267 - type III protein secretion system complex
family:all:5279	unknown
family:all:5278	unknown
family:all:5277	unknown
family:all:5276	unknown
family:all:5275	Heme oxygenase
family:all:5274	unknown
family:all:5273	unknown
family:all:5272	unknown
family:all:5271	unknown
family:all:5270	unknown
family:all:527	go:0015616 - DNA translocase activity; aclame:576 - plasmid partitioning protein family ParM
family:all:5269	unknown
family:all:5268	unknown
family:all:5267	ydh
family:all:5266	ycf
family:all:5265	apeA
family:all:5264	unknown
family:all:5263	virA/G regulated protein
family:all:5262	unknown
family:all:5261	unknown
family:all:5260	unknown
family:all:526	go:0005215 - transporter activity
family:all:5259	unknown
family:all:5258	unknown
family:all:5257	unknown
family:all:5256	murine macrophage stimulating factor homolog
family:all:5255	major head protein
family:all:5254	lower collar protein
family:all:5253	putative encapsidation protein
family:all:5252	ORF015
family:all:5251	ORF048
family:all:5250	ORF037
family:all:525	phi:0000326 - phage function unknown
family:all:5249	BcepGomrgp13
family:all:5248	BcepGomrgp11
family:all:5247	coat protein
family:all:5246	gp172
family:all:5245	gp155
family:all:5244	gp136
family:all:5243	gp63
family:all:5242	gp36
family:all:5241	gp1
family:all:5240	unknown
family:all:524	phi:0000068 - phage portal protein; phi:0000012 - phage head tail joining
family:all:5239	NTPase
family:all:5238	go:0003968 - RNA-directed RNA polymerase activity
family:all:5237	Gp23 protein
family:all:5236	Orf8
family:all:5235	gp40
family:all:5234	gp27
family:all:5233	gp14
family:all:5232	gp4
family:all:5231	gp48
family:all:5230	gp33
family:all:523	phi:0000019 - phage DNA maturation; phi:0000073 - phage terminase large subunit
